,0,0
209,0.3117125,0.3298592
210,,0.32968253
211,0.31742156,0.33127573
212,,0.32576507
213,0.32253858,0.33358535
214,0.31191498,0.32370335
215,0.3037082,0.33566153
216,0.29729903,0.33135748
217,,0.32804942
218,0.3239823,0.32547617
219,,0.3249057
220,0.34918803,0.33624834
221,0.344908,0.32325092
222,,0.3465665
223,0.313495,0.34480464
224,0.299219,0.33464262
225,,0.33199605
226,0.31634048,0.32624608
227,,0.32698232
228,0.30577722,0.33314744
229,0.29312402,0.3243441
230,0.2891303,0.32888204
231,0.29677728,0.32380474
232,0.29781634,0.32220942
233,,0.32526708
234,,0.32568353
235,,0.32344115
236,0.24489489,0.32366037
237,0.27503276,0.32247984
238,,0.3047813
239,0.30804425,0.31660601
240,,0.31264
241,0.2943371,0.32979542
242,0.29799646,0.3167884
243,0.30919966,0.32429
244,,0.32575575
245,0.30461198,0.33026135
246,0.30230895,0.3236984
247,0.29397193,0.32841298
248,0.2736659,0.32748687
249,,0.3241439
250,0.2371257,0.316065
251,0.23641947,0.32284984
252,0.21897227,0.3017661
253,0.20834169,0.3014927
254,0.23376831,0.29477227
255,0.27125707,0.29071003
256,0.29328275,0.30046722
257,0.29988948,0.31511265
258,0.29337966,0.32386824
259,0.28259194,0.32651514
260,0.28913996,0.32390702
261,0.29085732,0.3196052
262,0.2712846,0.32221332
263,0.26207468,0.32289886
264,0.26541418,0.3151235
265,0.26100206,0.31149536
266,0.24231726,0.3128087
267,0.22636408,0.31107423
268,0.22109294,0.30377945
269,0.22272733,0.2976114
270,0.22420186,0.29558557
271,0.22391927,0.29621303
272,0.24506432,0.2967797
273,0.25884175,0.29667103
274,0.24966738,0.30484718
275,0.26879337,0.31022692
276,0.29258338,0.30663997
277,0.28653795,0.3141401
278,0.2838302,0.3235886
279,0.28952774,0.3211758
280,0.28832075,0.32009768
281,0.2762944,0.32236806
282,0.25856394,0.3218865
283,0.23897031,0.3171057
284,,0.31011802
285,0.235006,0.30248082
286,,0.31545746
287,0.26874986,0.30094576
288,0.28212312,0.3182741
289,0.29230362,0.31412297
290,0.296596,0.31941885
291,0.28944862,0.32347673
292,0.27250278,0.32519448
293,,0.32233647
294,0.2933818,0.315605
295,0.29363587,0.3218981
296,,0.32390785
297,0.278763,0.32400948
298,0.27791095,0.32272553
299,,0.34473252
300,0.43816447,0.35419708
301,,0.3790949
302,,0.38409492
303,,0.36526912
304,,0.36790168
305,0.48206356,0.3579899
306,0.48526147,0.35937598
307,0.48834172,0.40324417
308,0.5051922,0.40465546
309,0.55493915,0.40601692
310,,0.4135012
311,0.45447296,0.4359554
312,0.45350185,0.3833889
313,,0.39116004
314,0.44378123,0.3907377
315,0.4297918,0.37162173
316,0.4556231,0.38652167
317,0.481229,0.38049015
318,0.48485604,0.39166048
319,0.4981148,0.40287623
320,0.4727342,0.4044764
321,,0.4103502
322,,0.3991396
323,,0.38172883
324,,0.37582386
325,0.3743148,0.36665592
326,0.3926703,0.36354694
327,0.40112746,0.35699004
328,0.3712098,0.36469138
329,0.37344754,0.36826438
330,0.4071466,0.35569447
331,0.39733893,0.35662794
332,0.408628,0.37081683
333,0.4548427,0.36666185
334,,0.3714462
335,0.45971316,0.39132088
336,0.4449465,0.36124218
337,0.43098083,0.39344245
338,0.4079436,0.387026
339,,0.38100117
340,,0.37115538
341,0.3814894,0.3662728
342,0.34737125,0.36108905
343,0.3566552,0.3599915
344,0.3904701,0.34581816
345,0.42831764,0.3496498
346,0.4458263,0.36376438
347,0.44446868,0.37985706
348,,0.38740698
349,0.43022996,0.38681912
